id;pathology_id;name;type;description;contraindications;created_at
eecf69a2-1d4e-4441-bffa-aaa570769ebd;df2f3e43-cb42-4036-a7f8-415b44c4abe4;Hydratation;lifestyle;Boire beaucoup d'eau et d'autres liquides non caféinés (comme du jus) pour aider à fluidifier les mucosités et soulager la congestion.;[];2025-12-07 20:22:00.233981+00
1efdf3a2-5631-4f08-bb05-e21574523311;1933101f-7828-4fc0-9ea2-972d201438ae;Alimentation adéquate pour les nourrissons allaités;lifestyle;Les nourrissons allaités devraient être nourris 8 à 12 fois par jour pendant les premiers jours de vie pour favoriser l'élimination de la bilirubine par les selles et l'urine. Assurez-vous que le bébé reçoit suffisamment de nourriture et est hydraté.;[];2025-12-07 20:22:06.159901+00
af743c23-34ee-4020-bfb2-805c350fcf19;2f3edc1a-a0e9-4d7f-8b93-3a95bb1a3104;Conseils pour l'utilisation de cannes;lifestyle;Conseils pratiques pour améliorer la mobilité et le soutien, mentionnés dans les références liées aux traitements.;[];2025-12-07 20:22:07.366355+00
97e252c4-0687-4378-b250-6d304c9eeb40;2f3edc1a-a0e9-4d7f-8b93-3a95bb1a3104;Suppléments diététiques;lifestyle;Mentionnés en lien avec la neuropathie diabétique, potentiellement pour soutenir la gestion de la maladie.;[];2025-12-07 20:22:07.448991+00
c5be0124-742b-41cd-a2f8-0bb1ad592122;5db86aea-ed4e-4941-a312-e47a85c0ae50;Maintien de la densité osseuse;lifestyle;Ensemble de mesures préventives pour conserver une bonne densité osseuse et réduire le risque d'ostéoporose.;[];2025-12-07 20:22:21.786044+00
d18af46c-45cd-4f5e-8909-0a204ebbee12;5db86aea-ed4e-4941-a312-e47a85c0ae50;Prévention des chutes;lifestyle;Stratégies visant à minimiser le risque de chute, notamment en évitant les obstacles et en améliorant l'équilibre.;[];2025-12-07 20:22:21.854043+00
e7f13142-6c61-4644-a65b-4f16e003736e;5db86aea-ed4e-4941-a312-e47a85c0ae50;Apport suffisant en calcium;lifestyle;Consommation quotidienne recommandée de calcium pour renforcer les os, notamment 1200 mg par jour pour les hommes et les femmes de 50 ans et plus.;[];2025-12-07 20:22:21.925093+00
3dc5a826-263c-4e68-b413-6ad72cd6bf53;5db86aea-ed4e-4941-a312-e47a85c0ae50;Apport suffisant en vitamine D;lifestyle;Consommation quotidienne recommandée de vitamine D pour aider à l'absorption du calcium, notamment 600 UI par jour pour les hommes et les femmes de 50 ans et plus.;[];2025-12-07 20:22:21.985456+00
38d4d879-7700-44af-90eb-22cfefe2225d;5db86aea-ed4e-4941-a312-e47a85c0ae50;Exercice de renforcement osseux et d'amélioration de l'équilibre;lifestyle;Activités physiques mettant en charge les os (comme la marche) pour maintenir la densité osseuse maximale et d'autres exercices pour augmenter la force globale et améliorer l'équilibre.;[];2025-12-07 20:22:22.042938+00
342e5ac9-34ba-4b51-8788-1b82ca51b990;5db86aea-ed4e-4941-a312-e47a85c0ae50;Éviter de fumer;lifestyle;Cesser de fumer, car le tabac peut réduire la densité osseuse.;[];2025-12-07 20:22:22.105768+00
aabb3e34-25e9-4efd-a561-d8dc812eda32;5db86aea-ed4e-4941-a312-e47a85c0ae50;Éviter la consommation excessive d'alcool;lifestyle;Modérer ou éviter la consommation d'alcool, car l'excès peut réduire la densité osseuse et altérer l'équilibre.;[];2025-12-07 20:22:22.168988+00
d594eabe-d5b4-4c96-bee3-b95628b0f99d;5db86aea-ed4e-4941-a312-e47a85c0ae50;Évaluation et sécurisation du domicile;lifestyle;Identifier et éliminer les dangers potentiels dans l'environnement domestique (tapis, fils électriques) et assurer un bon éclairage pour prévenir les chutes.;[];2025-12-07 20:22:22.231908+00
ad0c9f57-d8af-4949-bfc3-ebcad55dcf66;5db86aea-ed4e-4941-a312-e47a85c0ae50;Examen oculaire régulier;lifestyle;Faire contrôler sa vue régulièrement, tous les deux ans ou plus fréquemment en cas de diabète ou de maladie oculaire.;[];2025-12-07 20:22:22.316838+00
4fa1e911-663f-4f25-a5ab-a66c8f6485d5;3389ad0e-4dfc-4d65-b8a5-0d291bd2c9b9;Contrôle de l'alimentation;lifestyle;Conseils sur les changements alimentaires pour gérer l'excès de fer, bien que cette section ne fournisse pas de détails spécifiques sur le régime alimentaire.;[];2025-12-07 20:22:48.822508+00
7410efec-c862-435b-86b1-16202ed0572d;c17fff09-afb3-4667-928a-f5b09b398a43;Mode de vie sain pour le cœur;lifestyle;Adopter un mode de vie favorable à la santé cardiaque pour aider à prévenir les dommages cardiaques pouvant déclencher certaines arythmies.;[];2025-12-07 20:22:49.790697+00
c9ac4816-1957-479d-be93-5ace4d930236;c17fff09-afb3-4667-928a-f5b09b398a43;Éviter les stimulants (caféine, nicotine);lifestyle;Conseil visant à éviter la consommation de stimulants comme la caféine ou la nicotine, qui peuvent provoquer des battements cardiaques prématurés.;[];2025-12-07 20:22:49.981219+00
0c805381-b523-4881-925f-c129c6dd61d4;bb3b702f-c491-489d-953a-ed69c37c7ffb;Préservatifs;lifestyle;Certains préservatifs réduisent la sensibilité du pénis, aidant à retarder l'éjaculation. Les préservatifs 'de contrôle de l'orgasme' contiennent des anesthésiques comme la benzocaïne ou la lidocaïne, ou sont faits d'un latex plus épais.;[];2025-12-07 20:23:04.016184+00
62ff98cb-f251-4dd9-85a1-8a478eb84f9e;1879f64a-6858-4e82-8509-2b90bfeff209;Obtenir de l'aide tôt;lifestyle;Consulter un médecin ou un professionnel de la santé mentale dès l'apparition des symptômes pour faciliter le traitement.;[];2025-12-07 20:23:13.399702+00
915594a8-731c-4297-86d1-a53622b56097;1879f64a-6858-4e82-8509-2b90bfeff209;Tenir un journal;lifestyle;Suivre sa vie personnelle pour identifier les facteurs de stress et les stratégies efficaces pour la gestion de l'anxiété.;[];2025-12-07 20:23:13.474415+00
aa2bd6ee-9fbb-4d90-92ee-bbcdc3d650c3;1879f64a-6858-4e82-8509-2b90bfeff209;Établir des priorités dans sa vie;lifestyle;Gérer son temps et son énergie pour réduire l'anxiété et s'assurer de faire des activités agréables.;[];2025-12-07 20:23:13.53934+00
9e44fba7-15eb-4054-a08b-c617e401481a;77843575-8db1-41e8-ac8e-c45544b1223c;Alimentation adéquate;lifestyle;Pour les nourrissons allaités, il est recommandé d'effectuer 8 à 12 tétées par jour pendant les premiers jours de vie pour prévenir l'ictère. Il est important de s'assurer que le bébé mange suffisamment et est bien hydraté.;[];2025-12-07 20:23:13.572991+00
